Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Loan_to_Income_Ratio
Male,No,0,Graduate,No,5849,0.0,146.41216216216216,360.0,1.0,Urban,1,5849.0,0.02503199900190839
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,0,6091.0,0.0210146117222131
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1,3000.0,0.022
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1,4941.0,0.024286581663630843
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,1,6000.0,0.0235
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1,9613.0,0.027774888172266723
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,1,3849.0,0.024681735515718367
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5540.0,0.02851985559566787
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,1,5532.0,0.03036876355748373
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0,12555.375,0.02779685991059606
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,1,3900.0,0.017948717948717947
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,1,4340.0,0.02511520737327189
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1,11179.0,0.01789068789694964
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,0,4693.0,0.024291497975708502
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1,2385.0,0.007127882599580713
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1,4950.0,0.025252525252525252
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,1,3596.0,0.027808676307007785
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0,3510.0,0.021652421652421653
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,0,4887.0,0.027215060364231634
Male,Yes,0,Graduate,No,2600,3500.0,115.0,342.0,1.0,Urban,1,6100.0,0.018852459016393444
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,0,7660.0,0.013577023498694517
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,1,11580.0,0.027202072538860103
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,0,4511.0,0.025714919086677012
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,0,5282.0,0.021204089360090876
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,0,6642.0,0.02273411623005119
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,1,9560.0,0.01997907949790795
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1,5052.0,0.02414885193982581
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1,5266.0,0.020888720091150777
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,0,1442.0,0.024271844660194174
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,1,5833.0,0.020572604148808505
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,0,7535.0,0.026675514266755143
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,0,3167.0,0.023365961477739186
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,0,4692.0,0.022591645353793693
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,1,5167.0,0.022063092703696534
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,0,12555.375,0.025487092181635355
Male,Yes,0,Graduate,No,2275,2067.0,146.41216216216216,360.0,1.0,Urban,1,4342.0,0.033719982073275485
Male,Yes,0,Graduate,No,1828,1330.0,100.0,342.0,0.0,Urban,0,3158.0,0.031665611146295125
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,1,5126.0,0.02809207959422552
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1,11376.0,0.01617440225035162
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,1,5416.0,0.02031019202363368
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,0,3600.0,0.022222222222222223
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,1,3013.0,0.015599070693660804
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,1,2400.0,0.03125
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1,6277.0,0.021347777600764697
Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,342.0,1.0,Urban,1,4695.0,0.020447284345047924
Female,No,0,Graduate,No,3410,0.0,88.0,342.0,1.0,Urban,1,3410.0,0.025806451612903226
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,1,5649.0,0.007788989201628607
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1,5821.0,0.02473801752276241
Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,0,6085.0,0.01972062448644207
Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1,6275.0,0.022948207171314742
Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,1,3572.0,0.027995520716685332
Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1,3086.0,0.03888528839922229
Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,0,4230.0,0.026477541371158392
Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,0,4616.0,0.02902946273830156
Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,0,11500.0,0.024869565217391306
Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,1,3875.0,0.02503225806451613
Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,1,3723.0,0.0257856567284448
Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0,5566.0,0.024254401724757457
Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,1,10330.0,0.017424975798644726
Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,1,6216.0,0.023166023166023165
Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,1,6296.0,0.01905972045743329
Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,1,3029.0,0.03268405414328161
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,0,6058.0,0.02723671178606801
Male,Yes,1,Graduate,No,4945,0.0,146.41216216216216,360.0,0.0,Rural,0,4945.0,0.029608121771923592
Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,0,4166.0,0.02784445511281805
Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,0,10321.0,0.024997577754093597
Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0,5454.0,0.0231023102310231
Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,1,10750.0,0.02902325581395349
Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,1,7100.0,0.017605633802816902
Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,0,4300.0,0.03162790697674418
Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,1,6274.0,0.027414727446605038
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,1,3750.0,0.025866666666666666
Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,1,3500.0,0.023142857142857142
Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,342.0,0.0,Semiurban,0,4755.0,0.019978969505783387
Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1,7040.0,0.0265625
Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,0,3750.0,0.030133333333333335
Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,0,8500.0,0.020705882352941178
Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,0,4022.0,0.02734957732471407
Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,0,7167.0,0.025115110925073254
Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,1,5499.0,0.02364066193853428
Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1,3846.0,0.028861154446177848
Male,Yes,1,Graduate,Yes,2395,0.0,146.41216216216216,360.0,1.0,Semiurban,1,2395.0,0.06113242679004683
Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,0,3259.0,0.0512427124884934
Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,0,8250.0,0.03212121212121212
Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,1,3988.0,0.012537612838515547
Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,1,4897.0,0.027772105370635083
Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,1,5333.0,0.0185636602287643
Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,1,4618.0,0.02252057167605024
Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,1,8566.0,0.02451552650011674
Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,1,9862.0,0.017744879334820524
Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1,5858.0,0.022362581085694777
Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,1,11904.0,0.015793010752688172
Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,1,5093.0,0.015904182210877676
Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,1,4133.0,0.029518509557222357
Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,1,3620.0,0.006906077348066298
Male,No,0,Graduate,No,6782,0.0,146.41216216216216,360.0,1.0,Urban,0,6782.0,0.021588345939569768
Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,1,4786.0,0.028625156707062265
Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,1,2974.0,0.016812373907195696
Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,1,4188.0,0.027459407831900668
Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,1,5300.0,0.02471698113207547
Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,1,7551.0,0.01761356111773275
Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,1,8649.0,0.017458665741704245
Male,Yes,0,Graduate,No,13650,0.0,146.41216216216216,360.0,1.0,Urban,1,12555.375,0.01166131335481116
Male,Yes,0,Graduate,No,4652,3583.0,146.41216216216216,360.0,1.0,Semiurban,1,8235.0,0.017779254664500567
Male,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,1,4570.0,0.0350109409190372
Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,1,4082.0,0.02449779519843214
Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,1,12543.0,0.01793829227457546
Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,0,7333.0,0.01636438019909996
Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,0,7400.0,0.02918918918918919
Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,1,2825.0,0.03327433628318584
Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,1,5316.0,0.025583145221971408
Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,1,5262.0,0.026415811478525276
Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,342.0,0.0,Rural,0,7686.0,0.019776216497527973
Female,No,1,Graduate,Yes,7451,0.0,146.41216216216216,360.0,1.0,Semiurban,1,7451.0,0.01965000163228589
Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,1,5050.0,0.023366336633663366
Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,1,12555.375,0.01473472516750794
Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1,5450.0,0.028256880733944955
Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,1,3612.0,0.02353266888150609
Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,0,7710.0,0.022697795071335927
Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,1,10408.0,0.024884704073789392
Male,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,1,8334.0,0.02159827213822894
Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,1,4166.0,0.01056168987037926
Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1,11117.0,0.01232346856166232
Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,1,2957.0,0.027392627663172135
Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,1,6314.0,0.030725372188786824
Female,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,1,3692.0,0.025189599133261104
Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,1,12555.375,0.02946945033501588
Male,No,0,Graduate,No,3865,1640.0,146.41216216216216,360.0,1.0,Rural,1,5505.0,0.02659621474335371
Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0,12555.375,0.012743546090817678
Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,0,8649.0,0.021042895132385248
Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,1,12555.375,0.05177065599394681
Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,1,3943.0,0.018767435962465127
Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,1,2718.0,0.025754231052244298
Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,1,3459.0,0.007227522405319456
Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,1,4895.0,0.020837589376915218
Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0,11750.0,0.02468085106382979
Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,0,4583.0,0.0183286057167794
Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,1,6816.0,0.012910798122065728
Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,0,12555.375,0.01927461346236174
Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,0,5630.0,0.022912966252220248
Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,0,7125.0,0.025964912280701753
Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,1,5417.0,0.031013476093778844
Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,1,6950.0,0.025179856115107913
Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,1,4732.0,0.02578191039729501
Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,1,11757.0,0.01590541804882198
Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,1,6816.0,0.014671361502347418
Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,1,12555.375,0.005575301414732734
Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,1,2963.0,0.010124873439082012
Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,0,11666.0,0.019286816389507973
Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,1,5690.0,0.021968365553602813
Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0,6277.0,0.018798789230524134
Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,1,6327.0,0.024024024024024024
Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,0,9166.0,0.026620117826751038
Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,0,2281.0,0.049539675580885574
Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,1,3254.0,0.015365703749231715
Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,1,12555.375,0.04778829784056629
Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,1.0,Rural,1,6000.0,0.02666666666666667
Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,1,9538.0,0.019605787376808556
Male,No,0,Graduate,No,2980,2083.0,120.0,360.0,1.0,Rural,1,5063.0,0.023701362828362632
Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,1,10208.0,0.02498040752351097
Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,1,2904.0,0.0337465564738292
Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,0,7933.0,0.03466532207235598
Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,0,4369.0,0.027695124742504004
Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,1,5614.0,0.028143925899536872
Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,1,9323.0,0.008044620830204869
Male,Yes,0,Graduate,No,3707,3166.0,182.0,342.0,1.0,Rural,1,6873.0,0.02648043067074058
Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,0,4583.0,0.02443814095570587
Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,1,5772.0,0.02234927234927235
Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,0,2237.0,0.028162717925793473
Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,1,8000.0,0.025
Male,Yes,0,Not Graduate,No,1820,1769.0,95.0,360.0,1.0,Rural,1,3589.0,0.026469768737809974
Male,Yes,3+,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,1,12555.375,0.05575301414732734
Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,0,3522.0,0.022998296422487224
Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,1,11333.0,0.016500485308391422
Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,0,5080.0,0.017125984251968505
Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,1,5461.0,0.021241530855154733
Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,1,3664.0,0.027565502183406112
Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,0,12555.375,0.03942534571846719
Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,1,3750.0,0.030933333333333334
Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,0,3784.0,0.026955602536997886
Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,0,12555.375,0.014336489352169888
Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,1.0,Rural,0,6979.0,0.00960022925920619
Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,1,4600.0,0.015869565217391305
Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,0,12555.375,0.020708262397578725
Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,1,3625.0,0.029793103448275862
Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,1,12555.375,0.009557659568113257
Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,0,2178.0,0.030303030303030304
Male,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,1.0,Rural,1,4521.0,0.012829020128290201
Male,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,1,5970.0,0.02814070351758794
Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,1,9328.0,0.020154373927958835
Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,1,4885.0,0.009825997952917094
Male,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,0,12000.0,0.013666666666666667
Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,0,6033.0,0.026520802254268193
Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,1,3858.0,0.019699326075686883
Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,1,4191.0,0.02863278453829635
Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,0,5708.0,0.029782761037140854
Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,1,12083.0,0.015476289001075892
Female,No,0,Not Graduate,No,1907,2365.0,120.0,342.0,1.0,Urban,1,4272.0,0.028089887640449437
Female,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,1.0,Semiurban,1,6232.0,0.01813222079589217
Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,0,11000.0,0.007545454545454545
Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,1,5100.0,0.01764705882352941
Male,No,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,1,4923.0,0.03371927686370099
